TEACHER_ID,TEACHER_NAME,START_YEAR,YEARS_OF_SERVICE,SCHOOL_ID
4010,Jonathan Lynch,2003,20,22205
7998,Brian Russo,2009,21,16426
3237,Anthony Freeman,2003,18,13900
9610,Paul James,2009,22,46356
5691,Melinda Jones,2005,21,32001
6485,Robert Spears,2006,24,45653
5874,Katherine Barber,2005,19,61897
3406,Danielle Young,2003,19,30858
9627,Anna Mccormick,2009,19,20026
9456,Kenneth Ramirez,2003,18,51274
3326,Bethany Peterson,2008,17,99590
5424,David Griffith,2004,21,28645
9613,April Hernandez,2006,17,74056
359,Danielle Webb,2002,19,12918
3937,Amber Smith,2005,19,29709
1604,Donald Ruiz,2001,15,59479
3464,Mark Rodriguez,2009,16,65083
9783,Jonathan Aguirre,2007,16,6138
1735,Jacqueline Roberts,2009,21,6526
4687,Jason Wong,2009,21,15273
623,Natalie Hernandez,2003,24,20552
6970,Lori Black,2001,23,77141
2585,Jo Roberts,2008,24,9283
5059,Michele Christian,2009,24,42550
6193,Ann Freeman,2007,19,10708
2259,Danny White,2004,18,11922
9216,James Clay,2001,17,92020
2353,Megan Davis,2006,16,44684
9155,Danielle Wells,2007,16,49322
1875,Ryan Morgan,2005,21,14949
5406,Derek Hardin,2001,21,52342
9034,James Lane,2008,19,55491
3775,Kenneth Price,2006,18,39312
3192,Mary Petersen,2001,16,99236
15,Sandra Cline,2003,17,38190
389,Anthony Nguyen,2008,22,70154
2154,Mark Hernandez,2006,17,68779
7501,Leslie Gilmore,2003,23,99751
387,Juan Mejia,2004,24,70728
1457,Ronald Reid,2004,23,19997
388,James Thornton,2002,19,16376
3303,Jennifer Malone,2004,23,70306
8322,Jennifer Brown,2004,18,15137
6128,Thomas Murphy,2006,22,83022
2265,Alexis Phillips,2002,20,58535
109,Andrea Lee,2003,20,17817
4179,Jared Jones,2007,24,98213
8207,Tammy Schmidt,2004,15,38223
7231,Brian Roberson,2004,18,98253
6568,Hannah Garcia,2008,19,35379
2724,Jason English,2001,20,65276
3198,David Blackwell,2003,21,72196
2435,Brandy Perez,2005,21,3881
29,Yolanda Williams,2000,21,60396
2364,Shane Schmidt,2002,16,80118
3575,Jacob Hart,2003,19,86981
686,Alison Williams,2006,16,19363
877,Jennifer Myers,2009,19,44471
4588,Shawn Baker,2005,22,86965
8732,Andrea Barrera,2004,18,47401
3355,Joseph Rogers,2005,16,16414
9666,Robert Kelley,2004,19,30235
7355,Stephanie Robinson,2007,21,55985
7409,Samuel Reed,2001,18,79294
9428,Joshua Harris,2001,20,56263
3967,Derek Nguyen,2009,19,56952
5780,Rose Murray,2002,15,98943
3712,Mary Williams,2007,15,83487
7229,Alicia Benjamin,2005,23,72128
1271,Mary Smith,2005,15,14702
1471,Nicole Powers,2004,19,52749
6471,Danielle White,2004,22,33696
8264,Haley Hernandez,2008,17,47501
7139,Michael Delgado,2007,16,72008
8997,Cristina Wagner,2009,18,26828
3421,Larry Scott,2002,17,33426
9712,Robert Patel,2003,15,12547
5655,Angela Mason,2001,18,12848
3115,Vanessa Mendez,2000,18,22115
9918,Nathan Reyes,2000,18,70795
5643,James Nelson,2005,20,46179
2913,Adam Dunn,2000,15,16614
9972,William Cook,2009,23,21007
5969,Derek Bartlett,2006,18,45532
6952,Elizabeth Jones,2001,15,42959
3059,Bianca Smith,2009,22,35371
2243,Vanessa Nguyen,2009,17,49544
3862,Ryan Robinson,2005,24,97259
1344,Jade Silva,2002,21,44436
8044,Ashley Murray,2003,24,49443
5376,Alexis Norman,2009,19,39000
6464,James Patterson,2006,21,33051
5373,Joseph Gonzales,2002,16,40345
7651,Kimberly Johnston,2008,22,44908
4801,Dennis Scott,2006,16,13821
997,Paul Lee,2001,16,57143
553,Rachel Nunez,2006,18,59814
7671,Richard Ruiz,2002,23,28915
703,Jacob Hancock,2009,22,79828
9129,Caleb Kelly,2009,16,40357
6900,David Reyes,2009,21,43446
3080,Amy Lee,2004,21,19863
3117,Courtney Martinez,2001,19,28895
8657,Ann Hines,2005,15,1201
6560,David Mayer,2001,22,92284
3908,Christopher Lewis,2007,16,25334
1121,Brandon Jones,2006,20,40214
3783,Aaron Scott,2003,23,33738
9665,David Smith,2001,22,26362
5978,Michael Hall,2000,24,46761
260,Ashlee Jordan,2009,23,96113
6017,Joshua Wright,2008,17,10950
6591,Randy Jacobs,2003,17,58206
630,Jessica Lowe,2008,21,7711
3334,Whitney Johnson,2001,23,86623
17,Denise Black,2007,21,75305
2762,Nicole Hernandez,2007,21,94925
8965,Timothy Gallagher,2008,22,15604
9125,Frederick Russell,2005,21,92934
4713,Amanda Bowman,2003,22,62636
9355,Donald Mcdaniel,2006,24,58706
9899,Emily Singleton,2008,23,86382
7488,Alicia Brown,2003,20,95612
1278,Kathy Carpenter,2007,19,60380
7928,Shelby Cantu,2002,24,50362
9136,Anthony Hansen,2007,18,85590
9798,Carmen Hernandez,2001,19,88433
8374,Andre Jenkins,2009,24,32632
5782,Russell Taylor,2002,17,12610
1188,Patrick Randall,2002,21,58399
920,Angela Werner,2009,23,62229
6435,Derrick Turner,2007,20,17570
5051,Pamela Heath,2006,22,49466
4112,Joan Trujillo,2006,16,84187
8066,Blake Martin,2009,20,65420
7023,Robert Fitzgerald,2004,15,66731
839,Jasmine Griffin,2002,24,21573
3064,Hannah Crawford,2003,24,92396
1542,Michelle Davis,2009,21,3842
2084,Derek Howard,2009,19,88970
5797,Taylor Craig,2005,15,4633
2854,Stephanie Davis,2004,20,33430
4726,Danielle Walker,2008,16,68314
9289,Joseph Hamilton,2002,23,30947
9376,Beth Allen,2003,20,82696
6185,Matthew Williams,2008,19,47943
121,Jenna Ray,2002,20,49672
8517,Jesse Ward,2002,21,10833
137,Kyle Henderson,2007,15,19543
3559,Daniel Pittman,2006,17,76210
4946,Linda Reilly,2008,16,6471
8777,Michelle Stevens,2004,23,45514
9487,Jason Jones,2002,18,22820
9849,Helen Church,2003,15,52082
7125,Melissa Knight,2005,19,24177
4394,Michael Wolfe,2004,15,36590
7465,Jennifer Gonzalez,2006,18,2861
4803,Dylan Hanna,2006,18,97578
4483,Shane Cardenas,2004,16,22317
1545,Elizabeth Myers,2004,22,34434
7759,Joyce Roach,2002,18,32347
6504,Robert Lopez,2005,23,66430
8938,John Brewer,2004,20,30189
2896,Christina Adams,2006,17,47090
6728,John Jones,2003,19,39666
8760,Courtney Henry,2005,18,16039
3898,Jason Jacobson,2002,15,91994
6774,Tyler Thomas,2004,18,49045
3774,Matthew Moore,2009,21,1929
6942,Ellen Berry,2001,22,79200
5948,Lee Johnson,2009,22,10798
4288,Kristin Cook,2006,20,14950
5971,Miguel Stewart,2007,17,86108
3052,Darrell Nguyen,2007,15,82526
1705,Kiara Erickson,2005,16,83241
7727,Robert Hebert,2002,18,96251
6189,Ariana Wilson,2006,17,3990
8231,Amanda Martinez,2009,22,92305
8508,Shawna Camacho,2007,23,83683
5624,Sara Hall,2004,23,92987
570,John Payne,2000,18,26129
6019,Mary Duran,2005,21,3381
1272,Sandra Davis,2000,21,59216
379,Christina Willis,2008,24,89095
3669,Brenda Fox,2003,21,84138
8754,John Williamson,2008,21,81843
6917,Becky Lyons,2002,15,48584
334,Tara Key,2002,16,6289
1584,Diane Hardy,2000,18,2147
7638,Erika Green,2004,18,87558
3694,Daniel Anderson,2005,21,39549
6300,Kimberly Carrillo,2009,18,8569
7113,Nicole Perry,2008,19,45648
3011,Kathleen Robertson,2002,18,9850
7733,Susan Davis,2003,17,85627
1637,Amy Torres,2003,17,11738
1079,Vanessa Holden,2004,22,3697
6273,Bridget Jackson,2005,19,92402
5496,Randy Simmons,2002,22,22585
3556,Laura Bailey,2001,20,91290
9429,Joanna Lewis,2005,22,74091
6369,Thomas Li,2009,20,76198
2507,Melissa Murphy,2001,15,50894
3739,Michelle Brown,2004,24,35591
4277,Larry Elliott,2005,21,84901
7457,Douglas Reed,2003,19,92758
3369,William Turner,2003,15,34655
9547,Marie Bolton,2003,20,78704
926,Ryan Olsen,2008,22,54786
3055,Thomas Lang,2000,23,87529
2538,Michael Lopez,2004,16,31001
8465,Karen Singh,2007,16,54750
1541,Yolanda Morse,2007,17,24955
6269,Jessica Williams,2004,19,14837
7957,Brittany Duncan,2009,16,37957
3365,Tami Davies,2006,19,86818
7624,Kelsey Simpson,2005,23,22816
6773,Douglas Hernandez,2000,16,36397
2,Charles Small,2006,20,62165
9095,Anthony Moreno,2006,24,2373
1612,Jason Miller,2008,20,97348
7262,Jordan Pruitt,2009,18,87619
1104,Jennifer Murphy,2006,20,37255
625,Keith Lee,2008,20,74627
8248,Juan Odom,2003,15,31569
6081,Keith Wilson,2001,17,63444
7966,David Brooks,2009,15,85641
8227,Melinda Stanton,2001,18,42796
6306,Robert Reeves,2006,17,87309
496,Jennifer Carroll,2008,24,63618
7929,Michael Romero,2005,15,99432
644,Barry Diaz,2001,22,20082
1365,Danielle Gentry,2006,16,25546
4029,Eric Henderson,2000,17,89712
3587,Brandon Robinson,2003,19,7461
3083,Morgan Brown,2008,16,8593
6166,Katherine Barry,2008,23,86586
2995,Natasha Kaiser,2007,22,51473
5451,Brooke Young,2002,17,61833
984,Brittney Thompson,2007,17,46609
3354,Crystal Barnes,2006,17,42508
9727,Justin Dawson,2004,17,97610
1633,Ashley Goodwin,2005,16,41652
9044,Douglas Davis,2007,21,98266
3968,Justin Wells,2006,20,27020
11,Corey Lee,2005,17,39151
6382,Stacy Arias,2008,19,58934
5221,Ana Craig,2008,23,26827
3994,Wanda Bradley,2009,21,18366
4116,Nathan Smith,2000,16,11506
7596,Harry Cochran,2003,19,96717
1755,Karen Martinez,2007,22,28964
6065,Kristy Nelson,2003,17,69775
637,Brooke Kelly,2000,20,37031
1846,Jessica Cowan,2009,19,60746
3966,Brandon Kelly,2003,23,32514
2120,Anthony Kirk,2002,23,43365
960,Nancy Ortega,2001,23,87435
8431,Ruben Hall,2003,24,41356
5019,Susan Scott,2005,20,17785
7361,Morgan West,2000,24,38156
5839,Sarah Henry,2002,16,52357
1585,Carol Baker,2006,17,55682
7340,Michael Sanders,2007,17,95940
3099,Rachel Mckenzie,2009,15,45148
836,Christopher Jordan,2002,23,86580
9645,Brandon Moran,2007,19,56552
3782,Robert Moore,2009,17,6192
67,Margaret Jensen,2008,15,43110
506,Matthew Carroll,2000,18,73773
2573,Sherri Campbell,2003,19,32388
898,Tommy Delgado,2005,15,12427
7260,Jasmine Nelson,2000,18,88660
964,Marc King,2003,17,50518
1122,Stephen Morgan,2004,23,73270
9385,Sean Carter,2006,22,33508
1356,Krystal Olson,2008,18,39335
4539,Suzanne Simon,2004,20,84324
2752,Tyler Long,2001,23,43752
9728,Melissa Brown,2006,18,51173
2220,Joseph Jordan,2007,21,41177
5975,Chelsea Vance,2006,18,48158
5071,Renee Wright,2009,24,14772
5594,Matthew Reyes,2000,18,42627
3262,Dean Hickman,2008,16,24592
6292,Dillon Sullivan,2005,15,98498
3063,William Meyer,2007,23,76389
6148,Becky Smith,2008,22,37899
5784,Linda Ross,2009,18,86550
2200,Kimberly Booth,2003,15,2141
8183,George Ramirez,2002,22,25133
6332,Andrew Cunningham,2003,18,10634
156,Sara Rosales,2005,18,72527
4054,Crystal Patterson,2007,18,13146
7436,Thomas Cox,2009,20,54281
2128,Angela Williams,2000,17,12381
7768,Martha Castillo,2000,17,76969
88,Jennifer Johnson,2006,20,96539
2520,William Johnson,2003,20,51757
5990,Heather Rice,2008,18,94811
4878,Shelia Harris,2005,18,4981
2340,Edward Nguyen,2000,20,37346
2342,Brian Williams,2006,22,57981
8459,Tammy Hendrix,2001,22,36916
2676,George Sanchez,2008,21,55214
8799,Mary Young,2005,17,27019
3600,Elizabeth Cisneros,2007,19,23464
2626,Roger Curry,2001,21,15675
9079,Eddie Franklin,2000,24,13731
3809,Ana Fleming,2006,15,97021
5438,Eric Rocha,2004,24,92689
5131,Carmen Ferguson,2000,22,14263
822,Brian Mitchell,2004,21,37242
9553,Patricia Moore,2005,17,81687
5597,Mary Watkins,2007,16,8713
1412,Brenda Barnes,2003,23,44983
3928,Gabrielle King,2008,24,87643
5304,Savannah Hoffman,2004,21,62199
3085,Danielle Pope,2007,15,72108
8251,David Barber,2007,19,58940
8004,Diana Rangel,2002,17,16138
9127,Ian Murray,2007,15,3293
7173,Joshua Randolph,2003,24,1686
5781,Jean Martin,2001,24,18569
9114,Kevin Sullivan,2007,24,28928
815,Anna Case,2008,21,21321
829,Maria Simon,2002,22,80949
4938,David Petersen,2002,23,32686
8937,Mackenzie Moore,2009,24,27796
4876,Emily Francis,2002,22,29653
9003,John Davis,2005,16,78177
1021,George Campbell,2004,17,97391
1219,Gary Brown,2001,19,90335
647,Lisa Robinson,2003,19,8750
6915,Leslie Green,2004,23,17989
7324,Dustin Hunter,2004,21,14356
112,Jenny Ramirez,2006,19,23035
2099,Jared Barrett,2006,24,57396
565,Melissa Zamora,2008,21,86013
8067,Kristen Owen,2008,18,25285
2129,Renee Smith,2006,15,61231
1638,Brian Estrada,2001,24,46289
5094,David Nichols,2000,17,4999
5980,Elizabeth Smith,2001,22,45715
3851,Eric Massey,2002,16,20886
1694,Jay Miller,2005,21,57328
8277,Todd Webster,2000,18,41411
7217,Yvette Hudson,2005,20,67911
3125,Shelly Huang,2003,20,65755
1127,Joshua Watson,2004,20,23034
7766,Kenneth Newman,2001,21,52313
7997,Andres Diaz,2002,22,72836
4584,Catherine David,2007,18,24329
8778,Linda Cook,2000,20,83056
2383,James Gomez,2006,15,74796
430,Annette Franklin,2008,19,24481
6215,Linda Ramos,2006,23,7788
5842,Antonio Powell,2009,16,14038
5648,Patricia Myers,2003,21,23930
4813,Gerald Gibson,2001,22,32112
1279,Jessica Allen,2007,16,13914
4697,Richard Cooley,2000,18,18756
782,Paige Meyer,2007,17,68542
7027,Samantha Olson,2005,20,96183
9448,Stephanie King,2007,18,70756
2138,Nathan Gilbert,2004,15,95356
9455,Frank Good,2008,22,70119
8079,Justin Harrison,2007,24,32159
4252,Kristy Peck,2001,23,4105
7055,Joseph Lawrence,2008,18,25570
1178,Harold Gonzalez,2004,20,65395
6635,Christopher Bell,2007,23,54684
3505,James Rojas,2002,19,6246
5033,James Smith,2008,15,86785
2085,Emily Proctor,2003,15,60012
4439,Danielle Clark,2001,20,42644
8717,Danielle Miller,2003,20,47016
1750,Michaela Ruiz,2001,21,71543
3902,Dale Romero,2005,20,82053
6358,Bonnie Vargas,2008,21,9969
948,Jason Larson,2003,23,26966
8820,Cassandra Gonzalez,2009,24,68439
2400,Angela Davis,2006,19,11131
6315,Kari Burns,2006,15,38951
5636,Anthony Cooper,2009,18,52660
1618,Ryan Smith,2004,17,17593
8321,Beth Fuller,2008,20,51893
8007,Michael Holmes,2004,20,27492
1308,Joshua Sparks,2006,23,94085
6665,Brian Morales,2000,24,81216
8328,Edward Mercado,2004,23,49756
5749,Kristen Smith,2003,24,23068
1847,Tiffany Hudson,2009,24,78358
3486,Courtney Abbott,2007,18,38608
6865,Ronald Case,2008,21,79682
316,Mitchell Black,2004,20,54707
7105,William Pierce,2009,18,39953
7484,Crystal Good,2001,19,86085
8324,Robert Lopez,2007,22,1516
8253,Anthony Allen,2006,21,11227
1467,Omar Massey,2002,15,1834
2089,Mary Soto,2006,15,7740
9454,Pam Shannon,2004,20,5746
3392,John Stewart,2005,21,1423
1234,Michele Ford,2001,23,3084
4717,Amanda Butler,2000,24,51319
70,Debra Nixon,2004,21,72644
2881,Steven Short,2004,17,95138
2290,Joshua Pennington,2000,23,44080
6210,Keith Alexander,2007,22,63891
9442,Rachel Mays,2005,20,84119
1551,Miranda Taylor,2005,17,19638
4178,Jonathan Johnson,2005,23,1270
8620,Daniel Brown,2004,16,44346
8903,Jeff Bailey,2008,19,17048
4962,Wayne Schroeder,2008,23,78103
1504,Douglas Bennett,2000,20,51642
1065,Alyssa Lopez,2006,24,11733
8564,Deanna Martin,2002,22,32098
8756,Nathaniel Wiggins,2009,23,42324
3675,Jessica Sheppard,2005,24,66684
5034,Kellie Gomez,2000,20,83259
2284,Philip Cameron,2009,15,46127
3879,Adam Kelley,2008,17,17335
4896,Tammy Reynolds,2002,18,6615
6482,Anthony Hodges,2007,16,62511
3757,Denise Harris,2000,21,67837
9264,Kenneth Fernandez,2008,23,57396
1064,Shannon Cruz,2003,20,41683
8210,Megan Randolph,2000,24,89922
5053,Darrell Baker,2001,16,37000
8971,Kelsey Cline,2000,22,64376
539,Christopher Scott,2006,22,75068
7163,Shaun Lopez,2009,19,50568
2498,Joyce Reese,2003,18,4856
8764,Andrea Berry,2009,19,98373
5789,Paul Ortiz,2005,18,94805
2999,Alexandria Wilson,2004,17,59581
9646,James Johnson,2004,21,55871
7085,Chris Dominguez,2009,23,63908
1057,Levi Rice,2005,21,74638
8985,Timothy Webb,2007,19,75462
1862,Michael Church,2000,23,57349
5413,Jill Schneider,2006,18,48663
9467,Roger Werner,2003,21,8168
9636,Melissa Santos,2007,15,17570
5689,Ann Garcia,2002,19,10769
992,Anita May,2007,21,93551
2825,Andrea Martin,2001,18,79119
2236,Julia Fletcher,2004,21,77473
8574,Jennifer Allison,2007,22,97166
1399,Kylie Rogers,2008,22,77143
7337,Beverly Hall,2004,22,40696
6694,Charles Weeks,2009,20,92794
5157,Cory Bryant,2009,21,90535
2976,Joel Ortiz,2001,23,35443
6233,John Spencer,2001,16,24329
4113,Christine Berger,2004,21,17418
6099,Dorothy Davidson,2004,18,68977
4795,William Smith,2007,20,63763
9510,Lauren Wilson,2009,21,30942
6498,Jonathan Berg,2002,23,33758
1740,Michael Rogers,2000,18,58704
2904,Amy Benson,2004,23,82901
9978,Leslie Smith,2001,19,85757
5058,Joseph Flynn,2003,23,96433
3317,Jaime Curtis,2004,22,15579
4903,Richard Herrera,2000,24,9374
8991,Rachel Adams,2008,20,46968
3370,Shelly Allen,2000,22,20654
1426,Kristy Johnson,2004,18,38825
8083,Tasha Simon,2009,15,3042
4148,Heather Fernandez,2009,23,13937
8409,Ryan Stone,2002,21,14768
5007,Kathryn Carter,2006,17,5538
2883,Allison Cunningham,2009,23,42745
6885,Christopher Johnson,2001,20,83364
411,Haley Duncan,2000,17,25775
9182,Alexander Moran,2004,17,44613
4528,Brenda Gay,2006,16,19416
2759,Alicia Gomez,2008,15,41012
8424,Benjamin Gonzalez,2008,19,61658
3149,Ashley Watson,2003,22,27216
3823,Tammy Roberts,2002,16,36188
7935,Kimberly Torres,2006,24,11860
7130,Martin Berg,2006,17,41373
1115,Jason Dennis,2003,21,18103
2948,Angela Richardson,2005,18,67715
1148,Lori Reyes,2008,15,23096
5902,Wendy Morgan,2007,20,92941
2497,Nancy Valenzuela,2006,24,96561
8151,Keith Anthony,2001,19,53114
1414,Jennifer Obrien,2004,21,43533
8705,Brandon Rodriguez,2009,18,6228
1519,Mary Duke,2009,17,44759
1844,Denise Smith,2003,23,87362
9855,Deborah Glass,2003,24,82462
2758,Nathan Pearson,2007,22,67598
8439,Jeanette Jackson,2002,20,36367
1332,James Hughes,2007,15,7736
8906,Michael Jones,2005,16,67618
458,Andres Lee,2009,21,26189
661,Brenda Molina,2004,20,81662
9805,Christopher Frederick,2008,15,60601
8962,Dana Moore,2008,19,78594
8420,Katie Ramirez,2008,24,33712
7507,Steven Mcconnell,2000,17,69338
6561,Thomas Carter,2002,23,68106
4764,Shelley Saunders,2007,20,10290
7394,Tiffany Hubbard,2002,18,1888
6312,Benjamin Wright,2000,15,69327
4263,Michelle Fisher,2004,22,90771
4437,Logan Smith,2003,22,70348
8688,Jason Shaw,2009,15,41328
8258,Joseph Norris,2008,23,91208
2480,Carol Elliott,2006,23,24672
5710,Alejandra Decker,2009,15,75568
3736,Kristin Mckenzie,2004,17,30885
9836,Melinda Johnson,2001,24,45817
374,Mary Webb,2005,24,57399
7868,Melissa Jones,2001,16,47673
9839,Sarah Herrera,2007,21,99130
9262,Morgan Weaver,2004,17,60124
6554,Anthony Bond,2000,21,76455
4544,Robert Campbell,2009,24,89089
4064,Kyle Simon,2008,24,72748
1863,Debra Leblanc,2008,23,64190
6192,Kyle Powell,2007,23,67575
8257,Melissa Malone,2000,15,57107
2535,Antonio Beasley,2001,21,17507
8703,Katherine Ruiz,2007,23,69355
564,Kimberly Strickland,2007,19,20531
9233,Adam Baker,2000,19,24096
6967,Joshua Moore,2009,18,57436
3168,Sheri Hanson,2005,20,93258
1004,Kristina Brock,2007,21,93095
452,Denise Lambert,2000,20,46498
116,John Walker,2004,20,89585
5472,Sheri Maldonado,2003,24,54707
4521,Christopher Scott,2002,23,7416
135,David Bowman,2004,23,21345
8656,Taylor Burton,2001,24,71539
1515,Victoria Baker,2001,22,26784
7048,William Hicks,2007,17,9082
735,Carl Mccoy,2003,23,43941
6831,Autumn Nolan,2008,24,69889
5189,Amanda Thomas,2004,16,16880
5458,Mandy Giles,2008,22,47033
3176,Kelly Padilla,2007,15,3594
4490,Tina Blanchard,2005,18,79551
1642,Marcus Griffin,2006,18,14365
8438,Wendy Smith,2000,21,54785
2667,Bradley Kim,2000,15,63319
9375,Mark Mason,2000,17,55318
1680,Jesse Pruitt,2009,19,37562
4308,Bethany Roach,2007,18,62600
5080,Matthew Nash,2000,20,64055
4833,Mary Jenkins,2004,21,44323
8945,Christopher Peterson,2005,21,6869
1166,Michael Davis,2009,16,17679
7448,Samantha Hughes,2007,18,11668
102,Ryan Blankenship,2008,18,84892
3034,Nathan Joseph,2003,17,65452
6908,Chris Watts,2003,23,54540
5083,Pamela Reyes,2001,17,33661
7235,Paul Norton,2007,22,26501
4712,Michael Barker,2004,23,11099
9220,Vincent Moore,2004,21,28347
7330,Susan Ortega,2008,23,8123
5571,Curtis Garcia,2001,16,30963
6732,Manuel Hodges,2007,22,68997
6155,Jared Lewis,2007,21,71114
6077,Lisa Henderson,2002,18,59820
1406,Teresa Porter,2006,20,69948
1132,Jessica Aguirre,2002,18,54863
2747,Elizabeth Bell,2008,17,69771
1151,Megan Braun,2004,22,53539
219,Robert Robinson,2000,20,96264
3542,Melinda Glover,2002,17,57384
2745,Ruth Williams,2001,16,35051
2633,Destiny Schroeder,2002,18,21530
8340,Adam Hogan,2006,16,69978
2440,Chase Ellis,2005,18,54513
37,Lori Jenkins,2004,19,83181
2007,Crystal Mills,2008,17,90869
7522,Joshua Ramirez,2009,21,23628
8385,Jeffery Wright,2003,19,84201
3560,Jessica Beck,2005,22,67249
697,Patrick Lowery,2009,17,47467
2492,Anna Wiggins,2002,22,89829
4913,Dawn Johnson,2008,18,28183
692,Shirley Gomez,2005,23,96288
4270,Clarence Hicks,2005,17,84440
4098,Carla Herrera,2001,23,77274
6392,Angela Rivera,2006,22,57786
180,Catherine Reese,2008,16,91193
8202,Andrew Hernandez,2006,23,35171
6083,William Campos,2000,15,9905
6089,William Bennett,2002,18,36276
7323,Jennifer Martinez,2006,20,88988
2969,Kristy Ortiz,2009,20,86421
1790,Alejandro Moore,2007,22,86809
8762,Brian Bright,2008,19,84823
2476,Christopher Farrell,2002,20,49225
6198,Mary Cox,2009,21,36511
3018,Randall Hull,2009,24,15012
234,Thomas Hicks,2000,16,80838
4571,Robert Watson,2008,24,93535
9941,Timothy Gutierrez,2002,16,64913
2102,Logan Roberts,2006,17,5171
105,Derek Saunders,2007,16,73096
3301,Hunter Ho,2007,21,95578
8497,Tracy Thompson,2003,21,58208
5893,Cynthia Johnson,2006,20,69069
3475,Alan Lopez,2006,23,42049
6048,Angela Landry,2005,18,94196
5286,Tammy Phillips,2007,18,84745
6402,Tyler Burton,2000,18,19636
6161,Margaret Clark,2007,17,78368
35,Angela Banks,2004,19,65354
4755,Jack Leblanc,2001,23,43022
4566,Lindsay Cole,2000,24,82348
2856,Anna Jimenez,2000,24,73715
9380,Wendy Alvarez,2002,21,86597
5970,Emily Chavez,2005,16,29949
2516,Ernest Lyons,2008,21,7181
2793,Kelly Hines,2004,17,96873
1311,Samuel Davis,2009,22,2247
901,Christopher Davis,2009,15,67553
3732,Tina Wright,2008,24,2073
5987,Craig Brown,2009,16,4017
6914,Philip Hebert,2005,15,67489
185,Robin Floyd,2003,20,18231
4817,Alan Liu,2004,24,39923
7922,Kimberly Bauer,2006,22,84789
1730,Carol Camacho,2008,19,11144
4479,Mary Johnson,2009,15,23096
5936,Deborah Cohen,2007,21,64408
3842,Frank Parrish,2007,20,68419
9033,Nancy Watkins,2006,22,72903
1334,Mary Koch,2005,21,27881
509,Steven White,2001,16,51614
6176,Frank Phillips,2009,19,71335
5950,Rachel Johnson,2007,19,15758
4626,Evelyn Fuentes,2000,23,13496
2839,David Barker,2004,19,3714
